gene	red1	red2	red3	white1	white2	white3	log2fold	p.value	q.value
VIT_00s0400g00050.t01	3	0	0	3	1	0	0.416861201	0.873915806	1
VIT_05s0020g02020.t01	11417	14317	12072	9906	13476	13843	0.070316859	0.576806805	0.736430546
VIT_17s0000g09500.t01	6393	9141	7043	7609	8482	8413	0.22248692	0.023821391	0.074269934
VIT_18s0001g05440.t01	736	946	777	1095	1079	884	0.416963556	0.003446332	0.015207295
VIT_08s0056g01590.t01	0	0	5	0	0	0	-3.111602477	0.431895283	1
VIT_11s0016g00740.t01	62	41	53	52	41	48	-0.072929461	0.849458788	0.916634048
VIT_10s0042g00200.t01	1401	1716	1523	1478	1110	1163	-0.203934771	0.190319959	0.355938585
VIT_15s0045g00670.t01	4	4	2	0	4	2	-0.668630451	0.659754237	0.797465701
VIT_13s0019g00840.t01	25521	34755	28979	27808	28293	27948	0.016306145	0.851654138	0.91782726
VIT_04s0044g00270.t01	6	25	4	0	2	6	-1.975648115	0.10965404	0.239552386
VIT_08s0007g08010.t01	1941	2500	2546	1706	2439	2137	-0.060994402	0.672529804	0.806057104
VIT_04s0210g00180.t01	3387	4160	3796	3295	3380	3229	-0.098582654	0.288638665	0.471361494
VIT_18s0001g03720.t01	1	2	5	2	4	4	0.409301962	0.758158658	0.864304645
VIT_14s0066g01720.t01	18844	26354	21885	21812	29937	29664	0.377655693	0.00286213	0.013085903
VIT_18s0001g10410.t01	2	0	0	0	0	0	-1.898831826	0.637247755	1
VIT_15s0021g01230.t01	5343	6619	5329	5478	5688	5497	0.045045491	0.627354018	0.77349227
VIT_08s0007g02210.t01	1823	2304	2049	3649	2878	2445	0.644443311	0.000142615	0.000998304
VIT_08s0007g03260.t01	1812	2355	3766	2511	2739	1911	-0.052930317	0.826925041	0.904493885
VIT_19s0090g00750.t01	0	0	2	0	0	0	-1.788172277	0.657740643	1
VIT_10s0092g00200.t01	468	671	564	539	712	665	0.270252079	0.063298147	0.158570861
VIT_16s0039g00860.t01	39	49	52	28	28	32	-0.574197789	0.135234641	0.278559515
VIT_00s2430g00010.t01	84	76	55	82	84	91	0.341976289	0.26038339	0.439844943
VIT_11s0052g00100.t01	1546	1223	1471	1273	1194	1182	-0.140913935	0.427403395	0.611106253
VIT_02s0025g00820.t01	2245	3583	2986	2928	3951	4362	0.454652213	0.003661062	0.015982335
VIT_09s0002g00940.t01	84	83	80	38	30	30	-1.242756622	0.000241882	0.001593218
VIT_12s0057g00620.t01	6	2	20	1	1	4	-2.175465555	0.088477434	0.20434414
VIT_09s0054g01800.t01	10	7	10	15	3	2	-0.329787904	0.741796643	0.853213328
VIT_12s0035g00250.t01	74	88	86	57	78	51	-0.321898515	0.289268732	0.4722152
VIT_09s0018g00520.t01	144	106	164	536	494	560	2.016201347	1.38E-18	9.89E-17
VIT_06s0004g08010.t01	8	4	13	7	17	9	0.455107854	0.583551375	0.741527045
VIT_16s0039g02040.t01	2825	2962	2624	1545	1585	2123	-0.592997607	7.43E-05	0.000559502
VIT_07s0130g00300.t01	11	15	6	8	9	5	-0.430548439	0.59020328	0.746005217
VIT_14s0171g00040.t01	202	253	165	240	315	342	0.628332911	0.00256771	0.011940058
VIT_11s0118g00180.t01	660	569	654	587	517	706	0.021441039	0.910286864	0.951193312
VIT_10s0003g04790.t01	3	2	3	1	2	2	-0.613475348	0.6774992	0.809724355
VIT_02s0154g00090.t01	6383	8225	6205	8500	8569	9433	0.449011247	1.44E-05	0.000132034
VIT_13s0067g03020.t01	239	194	193	156	169	149	-0.323693828	0.16274147	0.319168431
VIT_18s0001g07410.t01	28	43	41	38	60	55	0.548063492	0.145133951	0.293601194
VIT_14s0066g01880.t01	4047	5804	4602	2353	1691	1394	-1.29466246	4.54E-11	1.24E-09
VIT_04s0008g00740.t01	2	11	3	12	12	2	0.875338911	0.413356046	0.597359054
VIT_15s0046g02490.t01	1	1	2	0	0	1	-1.812541476	0.485013497	1
VIT_01s0010g02770.t01	597	700	597	227	292	398	-0.957982465	1.39E-06	1.65E-05
VIT_17s0000g04910.t01	9703	10198	10353	14962	13218	12314	0.512637627	0.000129074	0.000915272
VIT_09s0018g01900.t01	14	15	31	59	48	66	1.615773351	0.00047037	0.002822223
VIT_07s0197g00240.t01	532	289	375	118	143	183	-1.379527729	4.66E-06	4.84E-05
VIT_01s0011g05930.t01	39	66	34	11	28	34	-0.825083063	0.101351541	0.225963605
VIT_01s0010g03120.t01	3	6	6	6	3	1	-0.454607464	0.699226548	0.824502538
